index,trend,seed
3394,UP,123
3396,UP,123
3397,UP,456
3398,UP,123
3399,UP,123
3400,UP,123
3401,UP,123
3402,UP,123
3404,UP,123
3405,UP,123
3406,UP,329
3430,UP,456
3446,UP,123
3447,DOWN,123
3448,UP,123
3450,UP,789
3451,UP,123
3452,UP,123
3453,UP,123
3454,UP,123
3455,UP,789
3456,UP,123
3457,UP,123
3458,UP,123
3459,UP,123
3460,UP,456
3461,UP,123
3462,UP,123
3463,UP,789
3464,UP,456
3465,UP,123
3466,UP,456
3467,UP,123
3468,UP,123
3470,UP,123
3472,UP,123
3474,DOWN,123
3475,UP,123
3476,UP,123
3477,UP,123
3478,DOWN,123
3479,UP,123
3480,UP,123
3481,UP,789
3482,UP,329
3483,UP,789
3484,UP,329
3485,UP,456
3486,UP,456
3487,UP,456
3488,UP,123
3489,UP,123
3490,UP,123
3491,UP,123
3492,UP,123
3493,UP,123
3494,UP,123
3495,UP,123
3496,UP,123
3497,UP,123
3498,UP,123
3499,UP,123
3500,UP,123
3501,UP,123
3502,UP,123
3503,UP,123
3504,UP,123
3505,UP,123
3506,UP,123
3507,UP,123
3508,UP,123
3509,UP,123
3510,UP,123
3511,UP,123
3512,UP,123
3513,UP,123
3514,UP,123
3515,UP,123
3516,UP,123
3517,UP,123
3518,UP,123
3528,UP,123
3529,UP,789
3532,UP,329
3533,UP,456
3536,UP,329
3538,DOWN,329
3540,DOWN,789
3545,DOWN,123
3546,DOWN,456
3550,DOWN,456
3554,DOWN,789
3556,DOWN,123
3562,DOWN,123
3563,UP,329
3572,DOWN,123
3573,DOWN,123
3574,DOWN,789
3577,DOWN,789
3578,DOWN,456
3579,DOWN,123
3580,DOWN,123
3581,DOWN,123
3582,DOWN,123
3584,DOWN,123
3586,DOWN,123
3588,DOWN,123
3589,DOWN,123
3590,DOWN,123
3591,UP,123
3592,UP,789
3593,UP,123
3594,UP,123
3595,UP,123
3596,UP,456
3597,UP,123
3598,DOWN,123
3599,DOWN,123
3602,UP,123
3603,UP,123
3604,UP,456
3605,UP,123
3606,UP,329
3608,UP,789
3609,UP,789
3610,UP,789
3611,UP,456
3612,UP,329
3616,UP,329
3617,DOWN,789
3618,DOWN,123
3619,DOWN,123
3620,DOWN,123
3621,DOWN,123
3622,DOWN,789
3624,UP,123
3626,DOWN,789
3627,UP,789
3632,UP,123
3636,UP,329
3637,UP,123
3638,UP,123
3639,UP,329
3640,DOWN,123
3641,DOWN,123
3642,DOWN,329
3643,DOWN,329
3645,DOWN,789
3646,DOWN,789
3647,DOWN,789
3648,DOWN,329
3649,DOWN,123
3650,DOWN,123
3651,DOWN,123
3652,DOWN,123
3653,DOWN,123
3654,DOWN,123
3655,DOWN,123
3656,UP,789
3657,-,329
3658,UP,456
3659,-,329
3660,-,329
3661,-,329
3662,-,329
3663,-,329
3664,-,329
3665,UP,123
3666,-,329
3667,-,329
3668,-,329
3669,-,329
3670,-,329
3671,-,329
3672,-,329
3673,DOWN,329
3674,DOWN,789
3675,DOWN,123
3676,UP,789
3677,UP,123
3678,UP,789
3679,DOWN,329
3680,-,329
3681,-,329
3682,DOWN,329
3683,DOWN,329
3684,DOWN,789
3685,DOWN,789
3686,DOWN,123
3687,DOWN,123
3688,DOWN,123
3689,DOWN,123
3690,DOWN,123
3691,DOWN,123
3692,DOWN,789
3693,DOWN,123
3694,DOWN,123
3695,DOWN,123
3696,DOWN,123
3697,DOWN,123
3698,DOWN,123
3699,DOWN,123
3700,UP,789
3701,-,329
3702,UP,123
3703,-,329
3704,-,329
3705,-,329
3706,-,329
3707,-,329
3708,UP,789
3709,-,329
3710,-,329
3711,-,329
3712,UP,123
3713,UP,123
3714,-,329
3715,UP,456
3716,-,329
3717,-,329
3718,-,329
3719,UP,123
3720,UP,123
3721,UP,123
3722,UP,789
3723,UP,123
3724,-,329
3725,UP,123
3726,DOWN,456
3727,DOWN,456
3728,DOWN,123
3729,UP,456
3730,DOWN,123
3731,-,329
3732,DOWN,789
3733,DOWN,123
3734,UP,329
3735,UP,123
3736,DOWN,123
3737,DOWN,123
3738,UP,123
3739,UP,123
3740,DOWN,123
3741,-,329
3742,-,329
3743,DOWN,789
3744,DOWN,456
3745,DOWN,123
3746,-,329
3747,UP,123
3748,DOWN,789
3749,DOWN,789
3750,DOWN,123
3751,DOWN,123
3752,DOWN,123
3753,DOWN,123
3754,DOWN,123
3755,-,329
3756,DOWN,789
3757,-,329
3758,DOWN,329
3759,UP,123
3760,UP,123
3761,UP,123
3762,UP,456
3763,UP,123
3764,UP,123
3765,UP,123
3766,UP,123
3767,UP,123
3768,UP,123
3769,UP,123
3770,UP,123
